Track name,Artist name,Album,Spotify Popularity,Spotify Release Date,Spotify Release Year,Track Age,Tags,Genres,bpm,energy,danceability,mood,Track Artist,Update_date
Bird Set Free,Sia,This Is Acting,62.0,2016-01-29,2016,7,"'love at first listen', 'pop', 'female vocalists', 'australian', 'beautiful'",'pop',148.0,0.258,0.9828,energetic,Bird Set Free Sia,2025/11/30
Birna,Wardruna,Birna,45.0,2025-01-24,2025,0,,,108.0,0.1745,0.9232,neutral,Birna Wardruna,2025/11/30
Bisschen Spaß,HBz,Bisschen Spaß,59.0,2024-06-28,2024,0,,,152.0,0.2766,1.2828,energetic,Bisschen Spaß HBz,2025/11/30
Black Betty,Caravan Palace,Black Betty,49.0,2017-05-26,2017,7,"'cover', 'covers', 'electro-swing', 'colours', 'fire'",'electro-swing',122.0,0.2825,1.4185,energetic,Black Betty Caravan Palace,2025/11/30
Black Wedding (feat. Rob Halford),In This Moment,Ritual,61.0,2017-07-21,2017,7,"'hard rock', 'alternative metal', 'Gothic Metal', 'Gothic Rock', 'metalcore'","'hard rock', 'Gothic Metal', 'metalcore'",137.0,0.2746,1.0758,energetic,Black Wedding (feat. Rob Halford) In This Moment,2025/11/30
Blackbird Song,Lee DeWyze,Blackbird Song,51.0,2015-03-27,2015,8,"'American Idol', 'folk', 'alternative', 'pop', 'Lee DeWyze'","'alternative', 'pop'",148.0,0.1025,0.8353,energetic,Blackbird Song Lee DeWyze,2025/11/30
Blame It on the Boom Boom,Black Stone Cherry,Between the Devil & the Deep Blue Sea (Special Edition),56.0,2011-01-01,2011,13,"'hard rock', 'Stoner Rock', 'Southern Rock', 'Southern metal', 'heavy metal'","'hard rock', 'Southern Rock', 'heavy metal'",117.0,0.2792,1.06,bright,Blame It on the Boom Boom Black Stone Cherry,2025/11/30
Blank Space,Taylor Swift,1989 (Deluxe),83.0,2014-01-01,2014,10,"'country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic'","'country', 'pop'",95.0,0.1674,1.1151,bright,Blank Space Taylor Swift,2025/11/30
Bleed Away,Wax Tailor,By Any Beats Necessary,31.0,2016-10-14,2016,8,"'trip-hop', 'downtempo', 'electronic', 'Hip-Hop', 'french'","'trip-hop', 'downtempo', 'electronic', 'Hip-Hop'",144.0,0.2339,1.0432,energetic,Bleed Away Wax Tailor,2025/11/30
Blind and Frozen,Beast In Black,Berserker,64.0,2017-11-03,2017,7,"'Power metal', 'heavy metal', 'metal', 'love at first listen', '2010s'","'Power metal', 'heavy metal', 'metal'",144.0,0.2243,1.0866,energetic,Blind and Frozen Beast In Black,2025/11/30
Blinding Lights,The Weeknd,After Hours,90.0,2020-03-20,2020,3,"'rnb', 'electronic', 'Canadian', 'dubstep', 'prog-rnb'","'electronic', 'dubstep'",115.0,0.2081,1.0436,neutral,Blinding Lights The Weeknd,2025/11/30
Blood,Breaking Benjamin,Ember,63.0,2018-04-13,2018,6,"'rock', 'alternative rock', 'alternative metal', 'Favorite', 'Heavy Metal of the 21st century'","'rock', 'alternative rock'",120.0,0.0871,1.0319,bright,Blood Breaking Benjamin,2025/11/30
Bluey Theme Tune - Extended,Bluey,Bluey The Album,65.0,2021-01-22,2021,3,"'Classical', 'Soundtracks', 'Television Music', 'western classical', 'Cinematic Classical'",'Classical',117.0,0.068,1.1148,bright,Bluey Theme Tune - Extended Bluey,2025/11/30
Bobby Sox,Green Day,Saviors,45.0,2025-06-06,2025,0,"'punk', '2024', '2020s', 'rock', 'punk rock'","'punk', 'rock'",106.0,0.3228,1.0077,neutral,Bobby Sox Green Day,2025/11/30
Bolesne strzały w serce,KARAŚ/ROGUCKI,Ostatni Bastion Romantyzmu,40.0,2020-02-14,2020,3,"'duo', 'polish'",,110.0,0.2391,1.1726,bright,Bolesne strzały w serce KARAŚ/ROGUCKI,2025/11/30
Bones,Imagine Dragons,Mercury - Acts 1 & 2,78.0,2022-03-11,2022,2,"'indie', 'indie rock', 'alternative', 'rock', 'indie pop'","'indie rock', 'alternative', 'rock', 'indie pop'",115.0,0.2262,1.1646,neutral,Bones Imagine Dragons,2025/11/30
Book of the Month,Lovage,Lovage: Music to Make Love to Your Old Lady By,39.0,2001-11-06,2001,23,"'trip-hop', 'downtempo', 'electronic', 'mike patton', 'chillout'","'trip-hop', 'downtempo', 'electronic'",91.0,0.2229,1.0558,neutral,Book of the Month Lovage,2025/11/30
Borgin & Burkes,Szymi Szyms,STAYPE2.,30.0,2024-05-17,2024,0,,,115.0,0.2291,1.3173,neutral,Borgin & Burkes Szymi Szyms,2025/11/30
